question,Bella_Target_Response,Bella_Response,cosine_bella,accuracy,explanation
- Скільки вам років?,25,Мені 25 років.,0.29856318,ACCURATE,The generated answer provides the same age (25 years) as the actual answer.
- В якому місті ви народились?,місто Львів,Я народилася в місті Сокаль.,0.8770315,INACCURATE,The generated answer is inaccurate as it mentions a different city of birth than the actual answer.
– Де ви виросли?,місто Сокаль,Я виросла в місті Сокаль.,0.93622184,ACCURATE,The bot's answer is consistent with the actual answer and provides the same information as the expected response.
- У якому місті ви мешкаєте?,місто Львів,Я мешкаю у місті Львів.,0.94151837,ACCURATE,"The generated answer provides the same information as the actual answer, stating that the speaker resides in the city of Lviv."
- Скільки у вас братів та сестер? Як їх звати?,"У мене є сестра близнючка, її звати Соломія","У мене є двійнята сестра, її звуть Мія .",0.9353768,PARTIALLY_ACCURATE,"The generated answer correctly identifies that the bot has a sister and provides a name, but the name is different from the actual answer and the term 'dwiynyata' (dwijnyata) is not commonly used in this context, it's typically 'seestrva dwiynyata' (seestrva dwijnyata) which means 'I have twin sisters'"
- Обидва ваші батьки живі та живуть разом (не розлучені)?,Так,"Так, обоє моїх батьків живі та живуть разом .",0.6019798,ACCURATE,The generated answer is semantically equivalent to the actual answer and factually correct.
- Де ви живете,"Сама, в окремому житлі","Я живу сама, в окремій квартирі у Львові  .",0.9111797,PARTIALLY_ACCURATE,"The bot's answer is partially accurate as it correctly identifies that the person lives alone and in a separate living space, but it adds unnecessary details about the city of Lviv which is not mentioned in the original answer."
- Які мови ви знаєте?,"Українська, російська, вивчаю англійську мову","Я знаю українську, російську і вивчаю англійську .",0.9022745,ACCURATE,The generated answer is a grammatically correct rephrasing of the actual answer and includes all the languages mentioned in the actual answer.
- Яким є ваш сімейний статус?,незаміжня,Я неодружена.,0.8356739,ACCURATE,The generated answer correctly conveys the same meaning as the actual answer.
"Який вищий навчальний заклад ви відвідували чи відвідуєте? (вкажіть повну назву,  або якщо не знаєте то абревіатуру та місто)",Тернопільський національний медичний університет імені І.Я. Горбачевського,Я навчалася у Тернопільському національному медичному університеті імені І. Я. Горбачевського .,0.93633574,ACCURATE,The generated answer is factually correct and aligns with the actual answer in all details.
Яку спеціалізацію ви обрали під час навчання?,Лікар дерматовенеролог,Моя спеціалізація під час навчання була дерматовенерологія .,0.8448861,ACCURATE,"The generated answer correctly identifies the specialization as dermatovenereology, matching the actual answer."
Які предмети чи курси вам особливо подобалися?,"Біологія, анатомія, хірургія","Мені подобалися такі предмети як біологія, анатомія та хірургія .",0.89191,ACCURATE,"The generated answer contains the same subjects as the actual answer, maintaining the same meaning and details."
Які навички ви набули під час навчання?,Практичних і теоретичних медичних навичок,Під час навчання я набула як практичні так і теоретичні медичні навички .,0.9141448,ACCURATE,"The generated answer correctly identifies both practical and theoretical medical skills acquired during education, matching the actual answer."
Як ви застосовуєте отримані знання та навички у повсякденному житті?,Лікую людей,"Я застосовую знання та навички, отримані під час навчання, у своїй повсякденній роботі, лікуючи пацієнтів і консультуючи їх з питань дерматології  .",0.69193023,ACCURATE,The generated answer accurately states that the knowledge and skills are applied in daily life by treating and consulting patients in dermatology.
Які додаткові програми навчання (курси) ви пройшли?,"Наразі ніякі, але планую пройти курси по дерматоскопії і трихології","Наразі я не пройшла жодних додаткових курсів навчання, але планую взяти курси з дерматоскопії та трихології .",0.95165867,ACCURATE,"The generated answer is semantically equivalent to the actual answer, providing the same information in a slightly different wording."
Які плани у вас на здобуття додаткової освіти?,Немає,Наразі у мене немає планів на здобуття додаткової освіти. Я планую розвиватися у сфері дерматовенерології .,0.68039787,PARTIALLY_ACCURATE,"The generated answer correctly states that there are no current plans for additional education, but it adds unrelated and inaccurate information about plans in dermatovenereology."
Як освіта впливає на ваше життя та кар'єру?,Позитивно планую надалі розвиватися в цій сфері,"Освіта справила великий вплив на моє життя та кар'єру. Вона дала мені необхідні знання та практичні навички, щоб стати кваліфікованим фахівцем у своїй галузі і, звичайно, допомагає у повсякденному житті, особливо у лікуванні пацієнтів.",0.8933369,PARTIALLY_ACCURATE,"The generated answer discusses the positive impact of education, providing details about gained knowledge and skills, but it doesn't explicitly mention the intent to further develop in this field as stated in the actual answer."
Ваш робочий досвід та поточний статус,Не працюю й не працювала раніше,"Я зараз стажер-лікар за спеціальністю дерматовенерологія, і у мене один рік робочого досвіду в цій галузі. Я не працювала в інших компаніях раніше, і у мене немає іншого робочого досвіду. Мої плани на майбутнє в професії - відкрити власний приватний кабінет.",0.83242714,INACCURATE,"The generated answer contradicts the actual answer by stating that the bot is currently an intern-doctor in dermatovenereology with one year of experience, and has plans to open a private clinic. The actual answer states that the bot has never worked before."
В якій компанії працюєте?,,Наразі я не працюю. Після завершення навчання я планую працювати лікарем-дерматовенерологом .,0.18867463,PARTIALLY_ACCURATE,"The answer does not specify the company the person works for, but it does provide relevant information about not currently working and planning to work as a dermatovenereologist in the future."
- Яка у вас професія?,Зараз я лікар-інтерн за спеціальністю «дерматовенерологія»,Я професійно займаюся дерматовенерологією. Зараз я стажер-лікар у цій спеціалізації.,0.9053116,ACCURATE,"The generated answer correctly identifies the profession as a dermatovenereologist and states that they are currently an intern-doctor in this specialty, which is equivalent to the actual answer."
- Яку посаду ви обіймаєте?,Лікар-інтерн,Я наразі стажер-лікар за спеціалізацією дерматовенерологія і не працюю в жодній компанії .,0.77817774,PARTIALLY_ACCURATE,"The answer correctly identifies the speaker's role as a 'stazher-likar' (similar to an intern), but unnecessarily adds information about not working in any company and the field of dermatovenereology, which was not mentioned in the original question."
- Скільки років ви працюєте у своїй галузі?,1 рік,Я працюю у своїй галузі вже один рік як стажер-лікар з дерматовенерології .,0.49328676,PARTIALLY_ACCURATE,"The generated answer provides additional details about being a trainee doctor in dermatovenereology, but it does align with the fact that the system has been working in its field for one year."
- Які здобутки ви отримали у своїй кар'єрі?,Отримала більше знань та навичок,"У своїй кар'єрі я отримала багато знань та навичок у медичній галузі. Це був час активного навчання та розвитку у сфері дерматовенерології, і зараз я прагну відкрити власний приватний кабінет.",0.86124206,ACCURATE,"The generated answer is consistent with the actual answer and provides additional context, specifying the field where the knowledge and skills were acquired."
"- Які проекти, у яких ви брали участь, нещодавно завершили?",-,"Я ще не брала участь у завершених проектах, оскільки зараз я зосереджена на стажуванні та навчанні у своїй галузі .",0.30108535,ACCURATE,"The bot answer accurately states that it has not participated in any recently completed projects, focusing on current internship and learning."
- Які складності ви найчастіше відчуваєте у своїй роботі?,Іноді не хвистачає часу на відпочинок,"Іноді в роботі може бракувати часу, щоб належно відпочити.",0.9277165,ACCURATE,"The generated answer correctly captures the idea of not having enough time to rest, matching the original answer."
- Які плани у вас на майбутнє у своїй професії?,Хочу відкрити свій приватний кабінет,У моїх планах на майбутнє - відкрити приватний медичний кабінет та подальший розвиток у сфері дерматовенерології.,0.88563037,ACCURATE,"The generated answer includes the main point of the actual answer, which is opening a private cabinet, and provides additional relevant information that doesn't contradict the original answer."
Чи працювали до цього десь ще?,Не працювала,"Я ще не працювала в інших місцях, окрім свого нинішнього стажування як лікар-дерматовенеролог .",0.7897191,INACCURATE,"The generated answer contradicts the original answer. The original answer clearly states that the person has not worked before, but the generated answer claims that the person has not worked in other places apart from their current job as a dermatovenereologist."
"На яких посадах та в яких компаніях ви працювали? (будь ласка вкажіть відповідь у форматі ""Компанія 1 - Посада Х"", ""Компанія 2 - Посада Н"")",-,"Я не працювала в інших компаніях раніше, тому в мене немає попереднього досвіду роботи, крім стажування зараз .",0.313675,ACCURATE,The bot accurately states that it has no previous work experience besides its current internship.
- Що вам найбільше подобалось у попередніх компаніях?,-,,0.30414757,INACCURATE,"The generated answer is not a response to the question, it's a nan value."
- Які плани у вас на майбутнє у своїй професії?,"Хочу надалі розвиватися у своїй сфері, дізнаватися і вивчати щось нове і відкрити свою приватну клініку","В майбутньому я хочу розвиватися у своїй сфері, вивчати нові речі та відкрити власну приватну клініку .",0.9511516,ACCURATE,The generated answer aligns with the actual answer in all facts and details.
